Département,Nom département,Type catastrophe,Année,Mois,Nombre événements
10,Aube,Inondation,1983,4,36.0
10,Aube,Inondation,1985,5,17.0
10,Aube,Inondation,1987,9,5.0
10,Aube,Inondation,1988,5,8.0
10,Aube,Inondation,1988,6,1.0
10,Aube,Inondation,1990,7,1.0
10,Aube,Inondation,1992,5,2.0
10,Aube,Inondation,1992,6,2.0
10,Aube,Inondation,1992,10,1.0
10,Aube,Inondation,1993,4,8.0
10,Aube,Inondation,1993,5,8.0
10,Aube,Inondation,1993,6,1.0
10,Aube,Inondation,1993,7,3.0
10,Aube,Inondation,1994,6,7.0
10,Aube,Inondation,1994,8,1.0
10,Aube,Inondation,1995,7,1.0
10,Aube,Inondation,1995,10,7.0
10,Aube,Inondation,1997,2,1.0
10,Aube,Inondation,1997,5,1.0
10,Aube,Inondation,1997,8,7.0
10,Aube,Inondation,1998,6,1.0
10,Aube,Inondation,1998,10,2.0
10,Aube,Inondation,1999,3,3.0
10,Aube,Inondation,1999,5,15.0
10,Aube,Inondation,1999,6,3.0
10,Aube,Inondation,1999,7,2.0
10,Aube,Inondation,1999,9,1.0
10,Aube,Inondation,1999,12,429.0
10,Aube,Inondation,2000,9,6.0
10,Aube,Inondation,2001,4,1.0
10,Aube,Inondation,2001,5,1.0
10,Aube,Inondation,2001,7,1.0
10,Aube,Inondation,2001,8,1.0
10,Aube,Inondation,2004,8,1.0
10,Aube,Inondation,2005,6,3.0
10,Aube,Inondation,2006,5,3.0
10,Aube,Inondation,2006,7,1.0
10,Aube,Inondation,2007,5,1.0
10,Aube,Inondation,2007,6,1.0
10,Aube,Inondation,2008,7,1.0
10,Aube,Inondation,2009,6,2.0
10,Aube,Inondation,2010,9,2.0
10,Aube,Inondation,2010,12,8.0
10,Aube,Inondation,2012,5,6.0
10,Aube,Inondation,2012,6,16.0
10,Aube,Inondation,2013,5,96.0
10,Aube,Inondation,2013,6,10.0
10,Aube,Inondation,2013,7,1.0
10,Aube,Inondation,2013,10,2.0
10,Aube,Inondation,2013,11,2.0
10,Aube,Inondation,2016,5,7.0
10,Aube,Inondation,2016,6,6.0
10,Aube,Inondation,2017,8,1.0
10,Aube,Inondation,2018,1,136.0
10,Aube,Inondation,2018,2,131.0
10,Aube,Inondation,2018,5,4.0
10,Aube,Inondation,2020,5,2.0
10,Aube,Inondation,2020,8,1.0
10,Aube,Inondation,2021,7,4.0
10,Aube,Inondation,2022,9,8.0
10,Aube,Inondation,2023,6,13.0
10,Aube,Inondation,2024,5,4.0
10,Aube,Inondation,2024,7,3.0
10,Aube,Sécheresse,1989,5,17.0
10,Aube,Sécheresse,1989,6,17.0
10,Aube,Sécheresse,1989,7,17.0
10,Aube,Sécheresse,1989,8,21.0
10,Aube,Sécheresse,1989,9,21.0
10,Aube,Sécheresse,1989,10,21.0
10,Aube,Sécheresse,1989,11,21.0
10,Aube,Sécheresse,1989,12,21.0
10,Aube,Sécheresse,1990,1,21.0
10,Aube,Sécheresse,1990,2,21.0
10,Aube,Sécheresse,1990,3,21.0
10,Aube,Sécheresse,1990,4,21.0
10,Aube,Sécheresse,1990,5,21.0
10,Aube,Sécheresse,1990,6,21.0
10,Aube,Sécheresse,1990,7,21.0
10,Aube,Sécheresse,1990,8,21.0
10,Aube,Sécheresse,1990,9,21.0
10,Aube,Sécheresse,1990,10,21.0
10,Aube,Sécheresse,1990,11,21.0
10,Aube,Sécheresse,1990,12,19.0
10,Aube,Sécheresse,1991,1,19.0
10,Aube,Sécheresse,1991,2,19.0
10,Aube,Sécheresse,1991,3,19.0
10,Aube,Sécheresse,1991,4,19.0
10,Aube,Sécheresse,1991,5,19.0
10,Aube,Sécheresse,1991,6,19.0
10,Aube,Sécheresse,1991,7,19.0
10,Aube,Sécheresse,1991,8,19.0
10,Aube,Sécheresse,1991,9,19.0
10,Aube,Sécheresse,1991,10,19.0
10,Aube,Sécheresse,1991,11,19.0
10,Aube,Sécheresse,1991,12,19.0
10,Aube,Sécheresse,1992,1,1.0
10,Aube,Sécheresse,1992,2,1.0
10,Aube,Sécheresse,1992,3,1.0
10,Aube,Sécheresse,1992,4,1.0
10,Aube,Sécheresse,1992,5,1.0
10,Aube,Sécheresse,1992,6,1.0
10,Aube,Sécheresse,1992,7,1.0
10,Aube,Sécheresse,1992,8,1.0
10,Aube,Sécheresse,1992,9,1.0
10,Aube,Sécheresse,1992,10,1.0
10,Aube,Sécheresse,1992,11,1.0
10,Aube,Sécheresse,1992,12,1.0
10,Aube,Sécheresse,2003,7,21.0
10,Aube,Sécheresse,2003,8,21.0
10,Aube,Sécheresse,2003,9,21.0
10,Aube,Sécheresse,2011,4,6.0
10,Aube,Sécheresse,2011,5,6.0
10,Aube,Sécheresse,2011,6,8.0
10,Aube,Sécheresse,2018,7,22.0
10,Aube,Sécheresse,2018,8,22.0
10,Aube,Sécheresse,2018,9,22.0
10,Aube,Sécheresse,2018,10,15.0
10,Aube,Sécheresse,2018,11,15.0
10,Aube,Sécheresse,2018,12,15.0
10,Aube,Sécheresse,2019,7,38.0
10,Aube,Sécheresse,2019,8,38.0
10,Aube,Sécheresse,2019,9,38.0
10,Aube,Sécheresse,2020,4,1.0
10,Aube,Sécheresse,2020,5,1.0
10,Aube,Sécheresse,2020,6,2.0
10,Aube,Sécheresse,2020,7,55.0
10,Aube,Sécheresse,2020,8,55.0
10,Aube,Sécheresse,2020,9,55.0
10,Aube,Sécheresse,2021,12,21.0
10,Aube,Sécheresse,2022,1,21.0
10,Aube,Sécheresse,2022,2,21.0
10,Aube,Sécheresse,2022,3,32.0
10,Aube,Sécheresse,2022,4,32.0
10,Aube,Sécheresse,2022,5,32.0
10,Aube,Sécheresse,2022,6,32.0
