Departement,PRELIQ_MENS,T_MENS,SWI_MENS,Annee,Mois,longitude,latitude,Numero Departement,Incendie,Sécheresse
Corse-du-Sud,2.71,19.37,0.19,1960,7.0,8.98,41.86,2A,,
Corse-du-Sud,7.91,19.87,0.12,1960,8.0,8.98,41.86,2A,,
Corse-du-Sud,1.53,20.1,0.2,1961,7.0,8.98,41.86,2A,,
Corse-du-Sud,3.59,19.91,0.12,1961,8.0,8.98,41.86,2A,,
Corse-du-Sud,1.85,20.12,0.2,1962,7.0,8.98,41.86,2A,,
Corse-du-Sud,1.28,20.85,0.11,1962,8.0,8.98,41.86,2A,,
Corse-du-Sud,54.25,21.56,0.23,1963,7.0,8.98,41.86,2A,,
Corse-du-Sud,21.38,20.24,0.2,1963,8.0,8.98,41.86,2A,,
Corse-du-Sud,26.28,21.47,0.19,1964,7.0,8.98,41.86,2A,,
Corse-du-Sud,29.32,20.53,0.15,1964,8.0,8.98,41.86,2A,,
Corse-du-Sud,0.57,20.38,0.15,1965,7.0,8.98,41.86,2A,,
Corse-du-Sud,35.11,19.99,0.08,1965,8.0,8.98,41.86,2A,,
Corse-du-Sud,25.46,18.62,0.23,1966,7.0,8.98,41.86,2A,,
Corse-du-Sud,61.8,19.21,0.18,1966,8.0,8.98,41.86,2A,,
Corse-du-Sud,1.49,21.59,0.23,1967,7.0,8.98,41.86,2A,,
Corse-du-Sud,13.27,21.23,0.13,1967,8.0,8.98,41.86,2A,,
Corse-du-Sud,23.33,20.3,0.24,1968,7.0,8.98,41.86,2A,,
Corse-du-Sud,30.46,18.96,0.18,1968,8.0,8.98,41.86,2A,,
Corse-du-Sud,24.56,19.33,0.29,1969,7.0,8.98,41.86,2A,,
Corse-du-Sud,10.87,19.89,0.18,1969,8.0,8.98,41.86,2A,,
Corse-du-Sud,9.67,19.77,0.22,1970,7.0,8.98,41.86,2A,,
Corse-du-Sud,10.56,20.48,0.14,1970,8.0,8.98,41.86,2A,,
Corse-du-Sud,17.98,20.78,0.38,1971,7.0,8.98,41.86,2A,,
Corse-du-Sud,3.02,22.48,0.19,1971,8.0,8.98,41.86,2A,,
Corse-du-Sud,8.26,19.12,0.23,1972,7.0,8.98,41.86,2A,,
Corse-du-Sud,10.18,18.9,0.15,1972,8.0,8.98,41.86,2A,,
Corse-du-Sud,8.86,20.53,0.2,1973,7.0,8.98,41.86,2A,,
Corse-du-Sud,30.41,21.1,0.13,1973,8.0,8.98,41.86,2A,,
Corse-du-Sud,7.56,19.14,0.24,1974,7.0,8.98,41.86,2A,,
Corse-du-Sud,31.74,20.35,0.16,1974,8.0,8.98,41.86,2A,,
Corse-du-Sud,1.18,20.23,0.24,1975,7.0,8.98,41.86,2A,,
Corse-du-Sud,106.93,20.41,0.23,1975,8.0,8.98,41.86,2A,,
Corse-du-Sud,54.13,20.23,0.33,1976,7.0,8.98,41.86,2A,,
Corse-du-Sud,48.19,19.13,0.23,1976,8.0,8.98,41.86,2A,,
Corse-du-Sud,54.77,19.44,0.29,1977,7.0,8.98,41.86,2A,,
Corse-du-Sud,94.52,18.82,0.36,1977,8.0,8.98,41.86,2A,,
Corse-du-Sud,4.37,19.09,0.32,1978,7.0,8.98,41.86,2A,,
Corse-du-Sud,6.4,19.68,0.18,1978,8.0,8.98,41.86,2A,,
