Annee,Humidité_France
1960,0.84285574374928
1961,0.7051509390482774
1962,0.8898162230671737
1963,0.9023954372623575
1964,0.901598686484618
1965,0.8361562391980643
1966,0.8585557091830855
1967,0.8134635326650536
1968,0.798297614932596
1969,0.8915952298651918
1970,0.9087982486461574
1971,0.81870491992165
1972,0.829786841802051
1973,0.7436282981910358
1974,0.850120981679917
1975,0.8693023389791451
1976,0.7439422744555825
1977,0.8850743173176634
1978,0.9435228712985367
1979,0.9348577025002881
1980,0.8683027998617352
1981,0.8709678534393364
1982,0.8222951952989975
1983,0.9225198755617007
1984,0.8101832008295886
1985,0.8964592695010946
1986,0.9325360064523563
1987,0.8600639474593847
1988,0.8953203134001613
1989,0.8532728424933749
1990,0.7241784767830396
1991,0.8056164304643392
1992,0.7517882244498214
1993,0.6956895955755271
1994,0.870847447862657
1995,0.8464563889849062
1996,0.7730372162691553
1997,0.653893305680378
1998,0.8107875331259361
1999,0.8596647079156584
2000,0.8373914045396935
2001,0.9569835234474018
2002,0.7743668625417675
2003,0.7177785459154281
2004,0.8063693973960133
2005,0.7754620347966356
2006,0.867822905864731
2007,0.7934295425740293
2008,0.8399516073280331
2009,0.7722589007950225
2010,0.823263048738334
2011,0.7107016937435189
2012,0.707938126512271
2013,0.8814419864039635
2014,0.7860271920728195
2015,0.8061003571840074
2016,0.8812766447747437
2017,0.7839319045973038
2018,0.9044820831893076
2019,0.7401543956677037
2020,0.7762536006452356
2021,0.711458693397857
2022,0.723001497868418
2023,0.8016027192072819
2024,0.8902073971655721
